i,j,Longtitude,Latitude,Sealevel,UpCont,Code,Error
2974,2707,99.116667,-0.216667,-49,-46.366342,13,212
2975,2707,99.15,-0.216667,-49,-45.723999,13,212
2976,2707,99.183333,-0.216667,-48,-44.740272,888,-888
2977,2707,99.216667,-0.216667,-47,-43.415386,108,100
2978,2707,99.25,-0.216667,-45,-41.793748,108,100
2979,2707,99.283333,-0.216667,-43,-39.839538,108,100
2980,2707,99.316667,-0.216667,-40,-37.553745,108,100
2981,2707,99.35,-0.216667,-37,-35.051512,108,100
2982,2707,99.383333,-0.216667,-34,-32.443484,108,100
2983,2707,99.416667,-0.216667,-31,-29.703664,108,100
2984,2707,99.45,-0.216667,-28,-26.750746,108,100
2985,2707,99.483333,-0.216667,-24,-23.609998,108,100
2986,2707,99.516667,-0.216667,-21,-20.36903,108,100
2987,2707,99.55,-0.216667,-18,-16.9106,108,100
2988,2707,99.583333,-0.216667,-14,-12.874187,108,100
2989,2707,99.616667,-0.216667,-8,-8.133089,108,100
2990,2707,99.65,-0.216667,-1,-2.911126,108,100
2991,2707,99.683333,-0.216667,6,2.553424,108,100
2992,2707,99.716667,-0.216667,13,8.089747,108,100
2993,2707,99.75,-0.216667,20,13.467445,108,100
2994,2707,99.783333,-0.216667,26,18.342427,108,100
2995,2707,99.816667,-0.216667,31,22.487543,108,100
2996,2707,99.85,-0.216667,35,25.829052,108,100
2997,2707,99.883333,-0.216667,37,27.987501,108,100
2998,2707,99.916667,-0.216667,38,28.727855,108,100
2999,2707,99.95,-0.216667,36,28.277775,108,100
3000,2707,99.983333,-0.216667,33,26.981248,108,100
3001,2707,100.016667,-0.216667,29,25.33287,108,100
3002,2707,100.05,-0.216667,26,23.788481,108,100
3003,2707,100.083333,-0.216667,24,22.613042,108,100
3004,2707,100.116667,-0.216667,23,21.882845,108,100
3005,2707,100.15,-0.216667,22,21.557033,108,100
3006,2707,100.183333,-0.216667,22,21.560511,108,100
3007,2707,100.216667,-0.216667,22,21.804151,108,100
3008,2707,100.25,-0.216667,23,22.173107,108,100
3009,2707,100.283333,-0.216667,23,22.57179,108,100
3010,2707,100.316667,-0.216667,23,22.988451,108,100
3011,2707,100.35,-0.216667,24,23.460048,108,100
3012,2707,100.383333,-0.216667,24,23.969547,108,100
3013,2707,100.416667,-0.216667,99999,24.448565,108,100
3014,2707,100.45,-0.216667,99999,24.868965,108,100
3015,2707,100.483333,-0.216667,99999,25.232154,108,100
3016,2707,100.516667,-0.216667,99999,25.507907,108,100
3017,2707,100.55,-0.216667,99999,25.640771,108,100
3018,2707,100.583333,-0.216667,99999,25.588961,108,100
2974,2706,99.116667,-0.183333,-47,-44.520005,13,212
2975,2706,99.15,-0.183333,-46,-43.709112,13,212
2976,2706,99.183333,-0.183333,-45,-42.667999,888,-888
2977,2706,99.216667,-0.183333,-44,-41.373196,108,100
2978,2706,99.25,-0.183333,-43,-39.85011,108,100
2979,2706,99.283333,-0.183333,-41,-38.034649,108,100
2980,2706,99.316667,-0.183333,-38,-35.857202,108,100
2981,2706,99.35,-0.183333,-35,-33.393941,108,100
2982,2706,99.383333,-0.183333,-32,-30.766362,108,100
2983,2706,99.416667,-0.183333,-29,-27.962535,108,100
2984,2706,99.45,-0.183333,-26,-24.925247,108,100
2985,2706,99.483333,-0.183333,-22,-21.706512,108,100
2986,2706,99.516667,-0.183333,-19,-18.427264,108,100
2987,2706,99.55,-0.183333,-16,-15.014254,108,100
2988,2706,99.583333,-0.183333,-12,-11.096141,108,100
2989,2706,99.616667,-0.183333,-6,-6.485042,108,100
2990,2706,99.65,-0.183333,0,-1.372438,108,100
2991,2706,99.683333,-0.183333,7,3.997856,108,100
2992,2706,99.716667,-0.183333,14,9.436159,108,100
2993,2706,99.75,-0.183333,21,14.713961,108,100
2994,2706,99.783333,-0.183333,27,19.54775,108,100
2995,2706,99.816667,-0.183333,32,23.772222,108,100
2996,2706,99.85,-0.183333,36,27.193863,108,100
2997,2706,99.883333,-0.183333,39,29.367323,108,100
2998,2706,99.916667,-0.183333,40,30.097588,108,100
2999,2706,99.95,-0.183333,38,29.505356,108,100
3000,2706,99.983333,-0.183333,34,27.945658,108,100
3001,2706,100.016667,-0.183333,30,26.06228,108,100
3002,2706,100.05,-0.183333,26,24.381202,108,100
3003,2706,100.083333,-0.183333,24,23.170993,108,100
3004,2706,100.116667,-0.183333,23,22.486357,108,100
3005,2706,100.15,-0.183333,22,22.248595,108,100
3006,2706,100.183333,-0.183333,22,22.339127,108,100
3007,2706,100.216667,-0.183333,23,22.64095,108,100
3008,2706,100.25,-0.183333,23,23.033417,108,100
3009,2706,100.283333,-0.183333,24,23.42885,108,100
3010,2706,100.316667,-0.183333,24,23.829335,108,100
3011,2706,100.35,-0.183333,24,24.287271,108,100
3012,2706,100.383333,-0.183333,99999,24.803411,108,100
3013,2706,100.416667,-0.183333,99999,25.316013,108,100
3014,2706,100.45,-0.183333,99999,25.777781,108,100
3015,2706,100.483333,-0.183333,99999,26.176852,108,100
3016,2706,100.516667,-0.183333,99999,26.48621,108,100
3017,2706,100.55,-0.183333,99999,26.64841,108,100
3018,2706,100.583333,-0.183333,99999,26.620194,108,100
2974,2705,99.116667,-0.15,-45,-42.817936,13,212
2975,2705,99.15,-0.15,-44,-41.860991,888,-888
2976,2705,99.183333,-0.15,-43,-40.740366,888,-888
2977,2705,99.216667,-0.15,-42,-39.464716,108,100
2978,2705,99.25,-0.15,-40,-38.021575,108,100
2979,2705,99.283333,-0.15,-39,-36.333084,108,100
2980,2705,99.316667,-0.15,-37,-34.307011,108,100
2981,2705,99.35,-0.15,-34,-31.952989,108,100
2982,2705,99.383333,-0.15,-31,-29.332153,108,100
2983,2705,99.416667,-0.15,-28,-26.469892,108,100
2984,2705,99.45,-0.15,-24,-23.367117,108,100
2985,2705,99.483333,-0.15,-20,-20.07851,108,100
2986,2705,99.516667,-0.15,-17,-16.71512,108,100
2987,2705,99.55,-0.15,-14,-13.277043,108,100
2988,2705,99.583333,-0.15,-10,-9.500562,108,100
2989,2705,99.616667,-0.15,-5,-5.120041,108,100
2990,2705,99.65,-0.15,1,-0.203274,108,100
2991,2705,99.683333,-0.15,8,4.997427,108,100
2992,2705,99.716667,-0.15,14,10.260267,108,100
2993,2705,99.75,-0.15,20,15.371576,108,100
2994,2705,99.783333,-0.15,26,20.11044,108,100
2995,2705,99.816667,-0.15,31,24.318663,108,100
2996,2705,99.85,-0.15,36,27.661238,108,100
2997,2705,99.883333,-0.15,39,29.759831,108,100
2998,2705,99.916667,-0.15,40,30.469335,108,100
2999,2705,99.95,-0.15,37,29.801698,108,100
3000,2705,99.983333,-0.15,33,28.148343,108,100
3001,2705,100.016667,-0.15,29,26.203952,108,100
3002,2705,100.05,-0.15,25,24.550538,108,100
3003,2705,100.083333,-0.15,23,23.469969,108,100
3004,2705,100.116667,-0.15,23,22.968382,108,100
3005,2705,100.15,-0.15,23,22.901907,108,100
3006,2705,100.183333,-0.15,23,23.117449,108,100
3007,2705,100.216667,-0.15,23,23.490499,108,100
3008,2705,100.25,-0.15,24,23.912334,108,100
3009,2705,100.283333,-0.15,24,24.320262,108,100
3010,2705,100.316667,-0.15,25,24.729686,108,100
3011,2705,100.35,-0.15,25,25.196874,108,100
3012,2705,100.383333,-0.15,99999,25.730379,108,100
